trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.95, 'e': 0.9915618937147881}",20,4,-167.37796650414654,"{0: 7, 1: 2, 2: 3, 3: 1, 4: 3}",1
131,False,"{'a': 0.95, 'e': 0.9914317638128685}",25,5,-48.71534153461502,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",1
132,False,"{'a': 0.95, 'e': 0.9913006424792677}",30,0,-116.76778688009497,"{0: 16, 1: 5, 2: 7, 3: 2, 4: 0}",0
133,False,"{'a': 0.95, 'e': 0.9911685298451072}",30,0,-204.78784474007696,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 4}",0
134,False,"{'a': 0.95, 'e': 0.9910354260424993}",20,0,-43.53231861287937,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
135,False,"{'a': 0.95, 'e': 0.9909013312045479}",20,0,-35.01884413453865,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.95, 'e': 0.990766245465348}",25,0,-96.13746046088718,"{0: 12, 1: 6, 2: 6, 3: 1, 4: 0}",0
137,False,"{'a': 0.95, 'e': 0.9906301689599851}",20,0,-146.6123982063295,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
138,False,"{'a': 0.95, 'e': 0.9904931018245359}",25,0,-159.34890182192132,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
139,False,"{'a': 0.95, 'e': 0.9903550441960673}",25,0,-184.31946678047447,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
140,False,"{'a': 0.95, 'e': 0.9902159962126371}",20,0,-10.234425121572716,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
141,False,"{'a': 0.95, 'e': 0.9900759580132933}",25,0,-192.92476328471338,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
142,False,"{'a': 0.95, 'e': 0.9899349297380738}",25,0,-135.29942409687473,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
143,False,"{'a': 0.95, 'e': 0.9897929115280072}",30,0,-194.8423512863975,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
144,False,"{'a': 0.95, 'e': 0.9896499035251115}",25,0,-157.99408144096677,"{0: 9, 1: 6, 2: 8, 3: 1, 4: 1}",0
145,False,"{'a': 0.95, 'e': 0.9895059058723947}",20,0,-174.8804739089647,"{0: 8, 1: 0, 2: 8, 3: 3, 4: 1}",0
146,False,"{'a': 0.95, 'e': 0.9893609187138546}",25,0,-113.69269919707494,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
147,False,"{'a': 0.95, 'e': 0.9892149421944781}",25,0,-112.45104272432549,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
148,False,"{'a': 0.95, 'e': 0.989067976460242}",25,0,-97.91211353763175,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
149,False,"{'a': 0.95, 'e': 0.9889200216581118}",25,3,-94.05774721691485,"{0: 13, 1: 5, 2: 1, 3: 2, 4: 1}",1
150,False,"{'a': 0.95, 'e': 0.9887710779360422}",20,0,-81.38886201318272,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
151,False,"{'a': 0.95, 'e': 0.9886211454429773}",25,0,-168.32742692658806,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
152,False,"{'a': 0.95, 'e': 0.9884702243288492}",25,0,-140.79892746279904,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
153,False,"{'a': 0.95, 'e': 0.9883183147445792}",20,0,-182.84766125711005,"{0: 10, 1: 5, 2: 1, 3: 0, 4: 4}",0
154,False,"{'a': 0.95, 'e': 0.9881654168420767}",25,0,-138.97567383189661,"{0: 11, 1: 5, 2: 6, 3: 3, 4: 0}",0
155,False,"{'a': 0.95, 'e': 0.9880115307742399}",30,0,-133.09870815872594,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
